Province_ID,Age_Group,Gender,Sales,Units,Province,Region
P01,15-18,Female,2357594112.0,660.0,Hanoi,North
P01,15-18,Male,541814459.0,156.0,Hanoi,North
P01,19-26,Female,4171815722.0,1184.0,Hanoi,North
P01,19-26,Male,1138028127.0,318.0,Hanoi,North
P01,27-35,Female,4048409680.0,1151.0,Hanoi,North
P01,27-35,Male,1409952461.0,403.0,Hanoi,North
P01,36-45,Female,4306799780.0,1222.0,Hanoi,North
P01,36-45,Male,1349456806.0,382.0,Hanoi,North
P01,9-14,Female,2782621769.0,793.0,Hanoi,North
P01,9-14,Male,726605930.0,205.0,Hanoi,North
P02,15-18,Female,1953512128.0,564.0,Hai Phong,North
P02,15-18,Male,643077709.0,176.0,Hai Phong,North
P02,19-26,Female,3715415154.0,1040.0,Hai Phong,North
P02,19-26,Male,1031993847.0,284.0,Hai Phong,North
P02,27-35,Female,3644125314.0,1057.0,Hai Phong,North
P02,27-35,Male,1249872727.0,356.0,Hai Phong,North
P02,36-45,Female,3990342749.0,1100.0,Hai Phong,North
P02,36-45,Male,1103442931.0,313.0,Hai Phong,North
P02,9-14,Female,2698564565.0,766.0,Hai Phong,North
P02,9-14,Male,759208452.0,224.0,Hai Phong,North
P03,15-18,Female,2068497494.0,584.0,Quang Ninh,North
P03,15-18,Male,701778511.0,210.0,Quang Ninh,North
P03,19-26,Female,3940745058.0,1108.0,Quang Ninh,North
P03,19-26,Male,1119508715.0,320.0,Quang Ninh,North
P03,27-35,Female,4348464827.0,1243.0,Quang Ninh,North
P03,27-35,Male,1079097842.0,300.0,Quang Ninh,North
P03,36-45,Female,4098070942.0,1154.0,Quang Ninh,North
P03,36-45,Male,1182958131.0,344.0,Quang Ninh,North
P03,9-14,Female,3122058294.0,889.0,Quang Ninh,North
P03,9-14,Male,892188244.0,244.0,Quang Ninh,North
P04,15-18,Female,2771578779.0,791.0,Bac Ninh,North
P04,15-18,Male,718514371.0,209.0,Bac Ninh,North
P04,19-26,Female,5131880882.0,1472.0,Bac Ninh,North
P04,19-26,Male,1482824443.0,412.0,Bac Ninh,North
P04,27-35,Female,5828743297.0,1652.0,Bac Ninh,North
P04,27-35,Male,1600997635.0,456.0,Bac Ninh,North
P04,36-45,Female,5507685229.0,1576.0,Bac Ninh,North
P04,36-45,Male,1582893385.0,446.0,Bac Ninh,North
P04,9-14,Female,4665990688.0,1318.0,Bac Ninh,North
P04,9-14,Male,1406541092.0,394.0,Bac Ninh,North
P05,15-18,Female,1304684247.0,374.0,Hai Duong,North
P05,15-18,Male,357460624.0,101.0,Hai Duong,North
P05,19-26,Female,2353545247.0,673.0,Hai Duong,North
P05,19-26,Male,611054257.0,175.0,Hai Duong,North
P05,27-35,Female,2241779754.0,639.0,Hai Duong,North
P05,27-35,Male,672376217.0,183.0,Hai Duong,North
P05,36-45,Female,2539970729.0,731.0,Hai Duong,North
