HCO_ID,Province,Region,Target_HCC,Vaccinated_HCC,Uptake_Rate,HCO_Type,HCO_Tier
HCO0001,Dong Nai,South,633,63,0.0995260663507109,Vax Center,Tier 2
HCO0002,Kien Giang,South,1405,130,0.09252669039145907,Hospital,Tier 1
HCO0003,Ninh Binh,North,242,20,0.08264462809917356,Vax Center,Tier 3
HCO0004,Thanh Hoa,Central,182,17,0.09340659340659341,Vax Center,Tier 3
HCO0005,Quang Binh,Central,107,9,0.08411214953271028,Vax Center,Tier 3
HCO0006,Hung Yen,North,972,89,0.09156378600823045,Vax Center,Tier 1
HCO0007,Bac Ninh,North,436,38,0.0871559633027523,Vax Center,Tier 2
HCO0008,Quang Binh,Central,251,25,0.099601593625498,Vax Center,Tier 3
HCO0009,Thai Nguyen,North,405,28,0.0691358024691358,Vax Center,Tier 2
HCO0010,Binh Dinh,Central,127,11,0.08661417322834646,Vax Center,Tier 3
HCO0011,Ha Tinh,Central,554,47,0.08483754512635379,Vax Center,Tier 2
HCO0012,Binh Duong,South,257,29,0.11284046692607004,Vax Center,Tier 3
HCO0013,Khanh Hoa,South,912,87,0.09539473684210527,Vax Center,Tier 1
HCO0014,Nam Dinh,North,496,41,0.08266129032258064,Vax Center,Tier 2
HCO0015,Binh Duong,South,636,56,0.0880503144654088,Vax Center,Tier 2
HCO0016,Binh Duong,South,418,39,0.09330143540669857,Vax Center,Tier 2
HCO0017,Nghe An,Central,438,34,0.0776255707762557,Vax Center,Tier 2
HCO0018,Vinh Phuc,North,406,41,0.10098522167487685,Vax Center,Tier 2
HCO0019,Khanh Hoa,South,555,35,0.06306306306306306,Vax Center,Tier 2
HCO0020,Bac Ninh,North,537,53,0.09869646182495345,Hospital,Tier 2
HCO0021,Hung Yen,North,486,46,0.09465020576131687,Vax Center,Tier 2
HCO0022,Hanoi,North,229,20,0.08733624454148471,Vax Center,Tier 3
HCO0023,Dong Nai,South,814,62,0.07616707616707617,Vax Center,Tier 1
HCO0024,Binh Dinh,Central,157,13,0.08280254777070063,Vax Center,Tier 3
HCO0025,Khanh Hoa,South,336,24,0.07142857142857142,Hospital,Tier 2
HCO0026,Dong Nai,South,402,37,0.09203980099502487,Vax Center,Tier 2
HCO0027,Quang Binh,Central,383,45,0.1174934725848564,Vax Center,Tier 2
HCO0028,Da Nang,Central,394,40,0.10152284263959391,Vax Center,Tier 2
HCO0029,Bac Ninh,North,110,12,0.10909090909090909,Vax Center,Tier 3
HCO0030,Quang Ninh,North,344,39,0.11337209302325581,Hospital,Tier 2
HCO0031,Binh Dinh,Central,594,69,0.11616161616161616,Vax Center,Tier 2
HCO0032,Quang Binh,Central,342,27,0.07894736842105263,Vax Center,Tier 2
HCO0033,Da Nang,Central,209,11,0.05263157894736842,Vax Center,Tier 3
HCO0034,Dong Nai,South,428,42,0.09813084112149532,Vax Center,Tier 2
HCO0035,Quang Ngai,Central,181,8,0.04419889502762431,Vax Center,Tier 3
HCO0036,Da Nang,Central,213,17,0.07981220657276995,Vax Center,Tier 3
HCO0037,Da Nang,Central,415,32,0.07710843373493977,Vax Center,Tier 2
HCO0038,Nam Dinh,North,403,37,0.09181141439205956,Vax Center,Tier 2
HCO0039,Hanoi,North,1625,144,0.08861538461538461,Hospital,Tier 1
HCO0040,Ha Tinh,Central,516,40,0.07751937984496124,Vax Center,Tier 2
HCO0041,Hung Yen,North,691,67,0.09696092619392185,Vax Center,Tier 2
HCO0042,Nghe An,Central,168,16,0.09523809523809523,Vax Center,Tier 3
HCO0043,Ho Chi Minh City,South,132,15,0.11363636363636363,Vax Center,Tier 3
HCO0044,Thai Nguyen,North,904,79,0.08738938053097345,Vax Center,Tier 1
HCO0045,Hai Phong,North,296,29,0.09797297297297297,Vax Center,Tier 2
HCO0046,Vinh Phuc,North,469,61,0.1300639658848614,Vax Center,Tier 2
HCO0047,Vinh Phuc,North,247,16,0.06477732793522267,Vax Center,Tier 3
HCO0048,Binh Dinh,Central,378,36,0.09523809523809523,Vax Center,Tier 2
HCO0049,Da Nang,Central,329,19,0.057750759878419454,Vax Center,Tier 2
HCO0050,Dong Nai,South,398,47,0.11809045226130653,Vax Center,Tier 2
HCO0051,Binh Dinh,Central,524,41,0.07824427480916031,Vax Center,Tier 2
HCO0052,Nghe An,Central,2027,233,0.11494819930932412,Hospital,Tier 1
HCO0053,Binh Duong,South,340,24,0.07058823529411765,Vax Center,Tier 2
HCO0054,Hai Duong,North,238,19,0.07983193277310924,Vax Center,Tier 3
HCO0055,Hanoi,North,1185,140,0.11814345991561181,Hospital,Tier 1
HCO0056,Quang Ninh,North,412,31,0.07524271844660194,Vax Center,Tier 2
HCO0057,Lam Dong,South,90,4,0.044444444444444446,Vax Center,Tier 3
HCO0058,Quang Binh,Central,408,33,0.08088235294117647,Hospital,Tier 2
HCO0059,Hai Duong,North,607,53,0.08731466227347612,Vax Center,Tier 2
HCO0060,Quang Tri,Central,2119,154,0.0726757904672015,Vax Center,Tier 1
HCO0061,Bac Ninh,North,784,69,0.08801020408163265,Vax Center,Tier 1
HCO0062,Khanh Hoa,South,537,39,0.07262569832402235,Hospital,Tier 2
HCO0063,Ha Tinh,Central,752,69,0.09175531914893617,Vax Center,Tier 1
HCO0064,Nghe An,Central,842,73,0.08669833729216152,Hospital,Tier 1
HCO0065,Nam Dinh,North,679,60,0.08836524300441827,Hospital,Tier 2
HCO0066,Quang Ngai,Central,406,36,0.08866995073891626,Vax Center,Tier 2
HCO0067,Thanh Hoa,Central,100,12,0.12,Vax Center,Tier 3
HCO0068,Quang Ninh,North,252,22,0.0873015873015873,Vax Center,Tier 3
HCO0069,Bac Ninh,North,628,56,0.08917197452229299,Vax Center,Tier 2
HCO0070,Can Tho,South,315,31,0.09841269841269841,Vax Center,Tier 2
HCO0071,Long An,South,292,27,0.09246575342465753,Vax Center,Tier 2
HCO0072,Khanh Hoa,South,507,53,0.10453648915187377,Hospital,Tier 2
HCO0073,Vinh Phuc,North,407,37,0.09090909090909091,Vax Center,Tier 2
HCO0074,Kien Giang,South,192,19,0.09895833333333333,Vax Center,Tier 3
HCO0075,Dong Nai,South,302,29,0.09602649006622517,Vax Center,Tier 2
HCO0076,Khanh Hoa,South,427,31,0.07259953161592506,Hospital,Tier 2
HCO0077,Ha Tinh,Central,457,40,0.087527352297593,Vax Center,Tier 2
HCO0078,Vinh Phuc,North,185,16,0.08648648648648649,Vax Center,Tier 3
HCO0079,Quang Ninh,North,334,40,0.11976047904191617,Vax Center,Tier 2
HCO0080,Long An,South,255,16,0.06274509803921569,Vax Center,Tier 3
HCO0081,Ha Tinh,Central,661,60,0.0907715582450832,Vax Center,Tier 1
HCO0082,Hung Yen,North,313,21,0.0670926517571885,Vax Center,Tier 2
HCO0083,Nam Dinh,North,235,34,0.14468085106382977,Vax Center,Tier 3
HCO0084,Da Nang,Central,971,72,0.07415036045314109,Hospital,Tier 1
HCO0085,Hung Yen,North,451,33,0.07317073170731707,Vax Center,Tier 2
HCO0086,Ho Chi Minh City,South,1274,104,0.08163265306122448,Hospital,Tier 1
HCO0087,Dong Nai,South,1436,116,0.0807799442896936,Hospital,Tier 1
HCO0088,Lam Dong,South,451,44,0.0975609756097561,Vax Center,Tier 2
HCO0089,Ha Tinh,Central,539,36,0.06679035250463822,Hospital,Tier 2
HCO0090,Quang Ngai,Central,435,41,0.09425287356321839,Vax Center,Tier 2
HCO0091,Quang Nam,Central,523,48,0.09177820267686425,Vax Center,Tier 2
HCO0092,Binh Dinh,Central,516,32,0.06201550387596899,Vax Center,Tier 2
HCO0093,Quang Ninh,North,812,85,0.10467980295566502,Hospital,Tier 1
HCO0094,Nghe An,Central,399,30,0.07518796992481203,Vax Center,Tier 2
HCO0095,Hai Phong,North,156,7,0.04487179487179487,Hospital,Tier 3
HCO0096,Quang Binh,Central,397,28,0.07052896725440806,Hospital,Tier 2
HCO0097,Ninh Binh,North,430,42,0.09767441860465116,Vax Center,Tier 2
HCO0098,Bac Ninh,North,257,24,0.0933852140077821,Vax Center,Tier 3
HCO0099,Quang Ninh,North,220,18,0.08181818181818182,Hospital,Tier 3
HCO0100,Quang Nam,Central,71,5,0.07042253521126761,Vax Center,Tier 3
HCO0101,Hung Yen,North,473,33,0.06976744186046512,Vax Center,Tier 2
HCO0102,Long An,South,212,13,0.06132075471698113,Vax Center,Tier 3
HCO0103,Da Nang,Central,447,23,0.05145413870246085,Vax Center,Tier 2
HCO0104,Ninh Binh,North,361,32,0.0886426592797784,Vax Center,Tier 2
HCO0105,Quang Nam,Central,339,26,0.07669616519174041,Vax Center,Tier 2
HCO0106,Hanoi,North,565,35,0.061946902654867256,Vax Center,Tier 2
HCO0107,Can Tho,South,359,29,0.0807799442896936,Vax Center,Tier 2
HCO0108,Quang Binh,Central,608,51,0.08388157894736842,Vax Center,Tier 2
HCO0109,Dong Nai,South,408,47,0.11519607843137254,Hospital,Tier 2
HCO0110,Quang Ninh,North,429,27,0.06293706293706294,Vax Center,Tier 2
HCO0111,Quang Binh,Central,982,75,0.07637474541751528,Vax Center,Tier 1
HCO0112,Quang Binh,Central,540,56,0.1037037037037037,Vax Center,Tier 2
HCO0113,Tien Giang,South,371,42,0.11320754716981132,Vax Center,Tier 2
HCO0114,Da Nang,Central,533,45,0.08442776735459662,Vax Center,Tier 2
HCO0115,Quang Binh,Central,532,40,0.07518796992481203,Vax Center,Tier 2
HCO0116,Vinh Phuc,North,86,5,0.05813953488372093,Vax Center,Tier 3
HCO0117,Ninh Binh,North,559,50,0.08944543828264759,Vax Center,Tier 2
HCO0118,Quang Tri,Central,932,86,0.09227467811158799,Hospital,Tier 1
HCO0119,Ha Tinh,Central,1586,148,0.09331651954602774,Vax Center,Tier 1
HCO0120,Hanoi,North,324,30,0.09259259259259259,Vax Center,Tier 2
HCO0121,Binh Duong,South,432,42,0.09722222222222222,Vax Center,Tier 2
HCO0122,Ba Ria - Vung Tau,South,355,29,0.08169014084507042,Vax Center,Tier 2
HCO0123,Bac Ninh,North,391,35,0.08951406649616368,Vax Center,Tier 2
HCO0124,Da Nang,Central,1053,80,0.07597340930674264,Vax Center,Tier 1
HCO0125,Quang Ninh,North,223,20,0.08968609865470852,Vax Center,Tier 3
HCO0126,Binh Dinh,Central,261,22,0.0842911877394636,Vax Center,Tier 3
HCO0127,Vinh Phuc,North,840,77,0.09166666666666666,Hospital,Tier 1
HCO0128,Binh Dinh,Central,128,9,0.0703125,Vax Center,Tier 3
HCO0129,Lam Dong,South,278,25,0.08992805755395683,Vax Center,Tier 3
HCO0130,Dong Nai,South,185,13,0.07027027027027027,Vax Center,Tier 3
HCO0131,Quang Ninh,North,352,25,0.07102272727272728,Vax Center,Tier 2
HCO0132,Long An,South,1450,116,0.08,Vax Center,Tier 1
HCO0133,Thai Nguyen,North,309,27,0.08737864077669903,Vax Center,Tier 2
HCO0134,Hanoi,North,185,13,0.07027027027027027,Vax Center,Tier 3
HCO0135,Da Nang,Central,616,54,0.08766233766233766,Vax Center,Tier 2
HCO0136,Thanh Hoa,Central,338,25,0.07396449704142012,Vax Center,Tier 2
HCO0137,Binh Duong,South,133,11,0.08270676691729323,Hospital,Tier 3
HCO0138,Binh Duong,South,874,81,0.09267734553775744,Vax Center,Tier 1
HCO0139,Nam Dinh,North,362,40,0.11049723756906077,Vax Center,Tier 2
HCO0140,Can Tho,South,246,20,0.08130081300813008,Vax Center,Tier 3
HCO0141,Vinh Phuc,North,318,33,0.10377358490566038,Vax Center,Tier 2
HCO0142,Quang Tri,Central,598,45,0.07525083612040134,Vax Center,Tier 2
HCO0143,Thai Nguyen,North,210,8,0.0380952380952381,Vax Center,Tier 3
HCO0144,Tien Giang,South,237,21,0.08860759493670886,Vax Center,Tier 3
HCO0145,Hai Duong,North,1015,102,0.10049261083743842,Hospital,Tier 1
HCO0146,Hai Phong,North,375,37,0.09866666666666667,Vax Center,Tier 2
HCO0147,Ha Tinh,Central,231,15,0.06493506493506493,Vax Center,Tier 3
HCO0148,Kien Giang,South,643,53,0.08242612752721618,Vax Center,Tier 2
HCO0149,Ba Ria - Vung Tau,South,129,14,0.10852713178294573,Vax Center,Tier 3
HCO0150,Dong Nai,South,353,38,0.10764872521246459,Vax Center,Tier 2
HCO0151,Ba Ria - Vung Tau,South,553,57,0.10307414104882459,Vax Center,Tier 2
HCO0152,Ba Ria - Vung Tau,South,627,70,0.11164274322169059,Vax Center,Tier 2
HCO0153,Quang Tri,Central,439,46,0.10478359908883828,Vax Center,Tier 2
HCO0154,Nam Dinh,North,327,29,0.08868501529051988,Vax Center,Tier 2
HCO0155,Dong Nai,South,450,37,0.08222222222222222,Vax Center,Tier 2
HCO0156,Binh Dinh,Central,607,62,0.10214168039538715,Hospital,Tier 2
HCO0157,Nghe An,Central,358,22,0.061452513966480445,Vax Center,Tier 2
HCO0158,Quang Ninh,North,1334,103,0.07721139430284858,Hospital,Tier 1
HCO0159,Dong Nai,South,419,22,0.05250596658711217,Vax Center,Tier 2
HCO0160,Vinh Phuc,North,243,24,0.09876543209876543,Hospital,Tier 3
HCO0161,Tien Giang,South,850,55,0.06470588235294118,Hospital,Tier 1
HCO0162,Thai Nguyen,North,587,48,0.0817717206132879,Vax Center,Tier 2
HCO0163,Bac Ninh,North,291,25,0.0859106529209622,Vax Center,Tier 3
HCO0164,Binh Duong,South,608,53,0.08717105263157894,Hospital,Tier 2
HCO0165,Hai Duong,North,240,21,0.0875,Vax Center,Tier 3
HCO0166,Hung Yen,North,200,11,0.055,Vax Center,Tier 3
HCO0167,Quang Ngai,Central,616,55,0.08928571428571429,Vax Center,Tier 2
HCO0168,Ho Chi Minh City,South,688,62,0.09011627906976744,Vax Center,Tier 2
HCO0169,Hung Yen,North,870,64,0.0735632183908046,Vax Center,Tier 1
HCO0170,Nam Dinh,North,211,24,0.11374407582938388,Vax Center,Tier 3
HCO0171,Dong Nai,South,268,24,0.08955223880597014,Vax Center,Tier 3
HCO0172,Kien Giang,South,330,23,0.0696969696969697,Vax Center,Tier 2
HCO0173,Quang Tri,Central,391,36,0.09207161125319693,Vax Center,Tier 2
HCO0174,Bac Ninh,North,171,15,0.08771929824561403,Vax Center,Tier 3
HCO0175,Hanoi,North,588,44,0.07482993197278912,Vax Center,Tier 2
HCO0176,Thai Nguyen,North,221,23,0.10407239819004525,Vax Center,Tier 3
HCO0177,Bac Ninh,North,214,21,0.09813084112149532,Vax Center,Tier 3
HCO0178,Khanh Hoa,South,997,94,0.09428284854563691,Vax Center,Tier 1
HCO0179,Bac Ninh,North,781,65,0.08322663252240717,Vax Center,Tier 1
HCO0180,Quang Tri,Central,263,23,0.08745247148288973,Vax Center,Tier 3
HCO0181,Khanh Hoa,South,360,44,0.12222222222222222,Vax Center,Tier 2
HCO0182,Da Nang,Central,406,38,0.09359605911330049,Vax Center,Tier 2
HCO0183,Hung Yen,North,979,80,0.08171603677221655,Vax Center,Tier 1
HCO0184,Binh Duong,South,330,36,0.10909090909090909,Vax Center,Tier 2
HCO0185,Khanh Hoa,South,320,18,0.05625,Vax Center,Tier 2
HCO0186,Lam Dong,South,770,55,0.07142857142857142,Vax Center,Tier 1
HCO0187,Bac Ninh,North,243,29,0.11934156378600823,Vax Center,Tier 3
HCO0188,Bac Ninh,North,347,29,0.08357348703170028,Vax Center,Tier 2
HCO0189,Long An,South,247,26,0.10526315789473684,Vax Center,Tier 3
HCO0190,Nghe An,Central,316,24,0.0759493670886076,Vax Center,Tier 2
HCO0191,Nam Dinh,North,154,19,0.12337662337662338,Vax Center,Tier 3
HCO0192,Quang Binh,Central,252,18,0.07142857142857142,Vax Center,Tier 3
HCO0193,Binh Dinh,Central,1038,85,0.08188824662813102,Hospital,Tier 1
HCO0194,Can Tho,South,761,67,0.08804204993429698,Vax Center,Tier 1
HCO0195,Vinh Phuc,North,340,37,0.10882352941176471,Vax Center,Tier 2
HCO0196,Long An,South,682,65,0.09530791788856305,Hospital,Tier 1
HCO0197,Hanoi,North,329,28,0.0851063829787234,Vax Center,Tier 2
HCO0198,Da Nang,Central,206,25,0.12135922330097088,Vax Center,Tier 3
HCO0199,Quang Ngai,Central,762,68,0.08923884514435695,Hospital,Tier 1
HCO0200,Quang Ninh,North,317,22,0.0694006309148265,Vax Center,Tier 2
HCO0201,Bac Ninh,North,382,40,0.10471204188481675,Vax Center,Tier 2
HCO0202,Nghe An,Central,278,27,0.09712230215827339,Hospital,Tier 3
HCO0203,Kien Giang,South,761,64,0.08409986859395532,Vax Center,Tier 1
HCO0204,Quang Nam,Central,73,5,0.0684931506849315,Vax Center,Tier 3
HCO0205,Tien Giang,South,97,10,0.10309278350515463,Vax Center,Tier 3
HCO0206,Binh Duong,South,417,30,0.07194244604316546,Vax Center,Tier 2
HCO0207,Quang Binh,Central,399,27,0.06766917293233082,Vax Center,Tier 2
HCO0208,Dong Nai,South,530,40,0.07547169811320754,Vax Center,Tier 2
HCO0209,Hanoi,North,344,33,0.09593023255813954,Vax Center,Tier 2
HCO0210,Quang Ninh,North,188,19,0.10106382978723404,Hospital,Tier 3
HCO0211,Binh Duong,South,289,33,0.11418685121107267,Vax Center,Tier 3
HCO0212,Binh Duong,South,117,9,0.07692307692307693,Vax Center,Tier 3
HCO0213,Thai Nguyen,North,192,17,0.08854166666666667,Vax Center,Tier 3
HCO0214,Hue,Central,879,77,0.0875995449374289,Vax Center,Tier 1
HCO0215,Quang Ngai,Central,324,29,0.08950617283950617,Vax Center,Tier 2
HCO0216,Ho Chi Minh City,South,672,64,0.09523809523809523,Hospital,Tier 1
HCO0217,Quang Ngai,Central,446,46,0.1031390134529148,Vax Center,Tier 2
HCO0218,Nghe An,Central,283,32,0.11307420494699646,Vax Center,Tier 3
HCO0219,Nghe An,Central,927,72,0.07766990291262135,Hospital,Tier 1
HCO0220,Ha Tinh,Central,851,87,0.10223266745005875,Vax Center,Tier 1
HCO0221,Binh Dinh,Central,273,23,0.08424908424908426,Vax Center,Tier 3
HCO0222,Ho Chi Minh City,South,801,74,0.09238451935081149,Vax Center,Tier 1
HCO0223,Ha Tinh,Central,750,50,0.06666666666666667,Vax Center,Tier 1
HCO0224,Thai Nguyen,North,487,56,0.11498973305954825,Hospital,Tier 2
HCO0225,Thai Nguyen,North,367,28,0.07629427792915532,Vax Center,Tier 2
HCO0226,Dong Nai,South,404,34,0.08415841584158416,Vax Center,Tier 2
HCO0227,Binh Duong,South,400,32,0.08,Vax Center,Tier 2
HCO0228,Quang Ninh,North,451,49,0.10864745011086474,Vax Center,Tier 2
HCO0229,Hai Phong,North,801,78,0.09737827715355805,Vax Center,Tier 1
HCO0230,Quang Nam,Central,533,46,0.08630393996247655,Vax Center,Tier 2
HCO0231,Bac Ninh,North,501,43,0.08582834331337326,Vax Center,Tier 2
