Month,Monthly_Target_HCC,Cumulative_Target_HCC,Monthly_Vaccinated_HCC,Cumulative_Vaccinated_HCC,Target_HCC,Vaccinated_HCC,Monthly_Uptake_Rate,Cumulative_Uptake_Rate,Uptake_Rate,Target_HCC_Growth,Vaccinated_HCC_Growth
2025-01,41350,41350,3556,3556,41350,3556,0.08599758162031439,0.08599758162031439,0.08599758162031439,0.0,0.0
2025-02,41695,83045,3594,7150,41695,3594,0.08619738577767118,0.08609789872960442,0.08609789872960442,0.008343409915356759,0.010686164229471329
2025-03,41546,124591,3509,10659,41546,3509,0.08446059789149377,0.08555192590154988,0.08555192590154988,-0.0035735699724187553,-0.023650528658875958
2025-04,41945,166536,3645,14304,41945,3645,0.08689951126475146,0.08589133880962675,0.08589133880962675,0.009603812641409526,0.038757480763750296
2025-05,41352,207888,3543,17847,41352,3543,0.08567904817179338,0.08584911105980143,0.08584911105980143,-0.014137561091906115,-0.027983539094650234
2025-06,41651,249539,3655,21502,41651,3655,0.08775299512616744,0.08616689174838402,0.08616689174838402,0.007230605532985157,0.0316116285633643
2025-07,41968,291507,3752,25254,41968,3752,0.08940144872283645,0.08663256800008233,0.08663256800008233,0.007610861683993164,0.026538987688098592
2025-08,41758,333265,3637,28891,41758,3637,0.08709708319363954,0.08669077160817967,0.08669077160817967,-0.005003812428516996,-0.030650319829424344
2025-09,41660,374925,3652,32543,41660,3652,0.08766202592414786,0.08679869307194772,0.08679869307194772,-0.0023468556923224027,0.004124278251306013
2025-10,41633,416558,3754,36297,41633,3754,0.09016885643600028,0.08713552494490563,0.08713552494490563,-0.0006481036965914067,0.027929901423877412
2025-11,41937,458495,3861,40158,41937,3861,0.09206667143572501,0.08758656037688524,0.08758656037688524,0.0073018999351475156,0.028502930207778387
2025-12,41505,500000,3696,43854,41505,3696,0.08904951210697507,0.087708,0.087708,-0.010301166034766385,-0.042735042735042694
2026-01,62816,562816,5537,49391,62816,5537,0.08814633214467651,0.08775692233340915,0.08775692233340915,0.5134562100951692,0.49810606060606055
2026-02,61852,624668,5603,54994,61852,5603,0.09058720817435167,0.08803716534222979,0.08803716534222979,-0.015346408558329139,0.011919812172656696
2026-03,61727,686395,5757,60751,61727,5757,0.0932655078004763,0.08850734635304744,0.08850734635304744,-0.0020209532432257094,0.027485275745136484
2026-04,63045,749440,5775,66526,63045,5775,0.09160123721151558,0.08876761315115286,0.08876761315115286,0.021352082557065888,0.0031266284523188137
2026-05,62461,811901,5883,72409,62461,5883,0.09418677254606875,0.08918451880216922,0.08918451880216922,-0.009263224680783555,0.018701298701298663
2026-06,62751,874652,5828,78237,62751,5828,0.0928750139440009,0.08944928954601374,0.08944928954601374,0.004642897167832727,-0.009348971613122536
2026-07,62695,937347,5882,84119,62695,5882,0.09381928383443656,0.08974157915905209,0.08974157915905209,-0.0008924160571146533,0.009265614275909329
2026-08,62653,1000000,5745,89864,62653,5745,0.09169552934416549,0.089864,0.089864,-0.0006699098811707715,-0.023291397483849008
