Month,HCO_ID,Sales,Year,Quarter,Month_Period,Monthly_Growth,Province,Region,HCO_Type,HCO_Tier,Growth
2026-08-01,HCO1724,28682982.0,2026,2026 Q3,2026-08,9.351556144857637,Binh Duong,South,Hospital,Tier 2,9.351556144857637
2026-08-01,HCO1216,20680374.0,2026,2026 Q3,2026-08,5.8855189965969235,Vinh Phuc,North,Vax Center,Tier 3,5.8855189965969235
2026-08-01,HCO0468,18135110.0,2026,2026 Q3,2026-08,5.6240661620937695,Quang Ngai,Central,Vax Center,Tier 2,5.6240661620937695
2026-08-01,HCO0853,17741985.0,2026,2026 Q3,2026-08,5.472965804382152,Tien Giang,South,Vax Center,Tier 2,5.472965804382152
2026-08-01,HCO1112,16214605.0,2026,2026 Q3,2026-08,4.634553389519232,Dong Nai,South,Vax Center,Tier 2,4.634553389519232
2026-08-01,HCO0402,14825444.0,2026,2026 Q3,2026-08,4.394438636777944,Dong Nai,South,Vax Center,Tier 3,4.394438636777944
2026-08-01,HCO1708,17435140.0,2026,2026 Q3,2026-08,4.330445204013623,Hung Yen,North,Vax Center,Tier 3,4.330445204013623
2026-08-01,HCO1429,29241448.0,2026,2026 Q3,2026-08,4.148342567554125,Can Tho,South,Vax Center,Tier 2,4.148342567554125
2026-08-01,HCO0430,16157160.0,2026,2026 Q3,2026-08,4.062661447699406,Quang Ngai,Central,Vax Center,Tier 2,4.062661447699406
2026-08-01,HCO0890,13585371.0,2026,2026 Q3,2026-08,3.689691728072277,Da Nang,Central,Vax Center,Tier 3,3.689691728072277
2026-08-01,HCO0185,14392163.0,2026,2026 Q3,2026-08,3.6768602998784976,Khanh Hoa,South,Vax Center,Tier 2,3.6768602998784976
2026-08-01,HCO0714,12473974.0,2026,2026 Q3,2026-08,3.535891580547333,Hanoi,North,Vax Center,Tier 2,3.535891580547333
2026-08-01,HCO0844,13485266.0,2026,2026 Q3,2026-08,3.5072808613967448,Nghe An,Central,Vax Center,Tier 3,3.5072808613967448
2026-08-01,HCO1616,13342753.0,2026,2026 Q3,2026-08,3.5004814926372942,Quang Binh,Central,Vax Center,Tier 3,3.5004814926372942
2026-08-01,HCO0414,13661804.0,2026,2026 Q3,2026-08,3.496588178760211,Hung Yen,North,Vax Center,Tier 2,3.496588178760211
2026-08-01,HCO0261,12173277.0,2026,2026 Q3,2026-08,3.4535781837072914,Binh Duong,South,Vax Center,Tier 3,3.4535781837072914
2026-08-01,HCO1952,13575579.0,2026,2026 Q3,2026-08,3.422854054321734,Nghe An,Central,Vax Center,Tier 3,3.422854054321734
2026-08-01,HCO1135,19908589.0,2026,2026 Q3,2026-08,3.2981743230759237,Bac Ninh,North,Vax Center,Tier 2,3.2981743230759237
2026-08-01,HCO0030,21371653.0,2026,2026 Q3,2026-08,3.2770362531337325,Quang Ninh,North,Hospital,Tier 2,3.2770362531337325
2026-08-01,HCO1153,11424073.0,2026,2026 Q3,2026-08,3.2530064773798015,Quang Ninh,North,Vax Center,Tier 3,3.2530064773798015
2026-08-01,HCO0096,34454404.0,2026,2026 Q3,2026-08,3.1879119612870035,Quang Binh,Central,Hospital,Tier 2,3.1879119612870035
