HCO_ID,Sales,Units,Rank,Sales_Share,Cumulative_Sales_Share,Province,Region,HCO_Type,HCO_Tier
HCO0563,2539709696.0,708.0,1,0.003998044579329882,0.003998044579329882,Nam Dinh,North,Hospital,Tier 1
HCO1922,2047050626.0,570.0,2,0.0032224941582036392,0.007220538737533521,Hanoi,North,Hospital,Tier 1
HCO0596,2010286247.0,571.0,3,0.003164619186743366,0.010385157924276887,Nghe An,Central,Vax Center,Tier 1
HCO0689,2004369355.0,572.0,4,0.0031553047371335,0.013540462661410386,Binh Dinh,Central,Vax Center,Tier 1
HCO0440,1708234213.0,485.0,5,0.002689124881582724,0.01622958754299311,Quang Tri,Central,Hospital,Tier 1
HCO0052,1667040276.0,480.0,6,0.0026242768413584816,0.01885386438435159,Nghe An,Central,Hospital,Tier 1
HCO1746,1565052940.0,443.0,7,0.0024637270287175745,0.021317591413069166,Quang Tri,Central,Hospital,Tier 1
HCO1896,1554000034.0,435.0,8,0.0024463273979689337,0.0237639188110381,Hai Phong,North,Vax Center,Tier 1
HCO1598,1550900047.0,446.0,9,0.002441447357450577,0.026205366168488675,Hung Yen,North,Hospital,Tier 1
HCO0608,1542760273.0,439.0,10,0.002428633617609002,0.028633999786097677,Khanh Hoa,South,Hospital,Tier 1
HCO0288,1523335769.0,444.0,11,0.002398055306613188,0.031032055092710866,Khanh Hoa,South,Hospital,Tier 1
HCO1705,1471361107.0,409.0,12,0.002316236106568837,0.033348291199279706,Ho Chi Minh City,South,Hospital,Tier 1
HCO1497,1463300898.0,399.0,13,0.00230354761900214,0.03565183881828184,Thanh Hoa,Central,Hospital,Tier 1
HCO0800,1420997515.0,400.0,14,0.0022369530742174172,0.03788879189249926,Thai Nguyen,North,Vax Center,Tier 1
HCO0698,1397281552.0,387.0,15,0.0021996190917291532,0.04008841098422841,Hai Phong,North,Hospital,Tier 1
HCO1117,1396539592.0,398.0,16,0.0021984510884881722,0.042286862072716584,Dong Nai,South,Hospital,Tier 1
HCO1715,1351325871.0,380.0,17,0.002127275051148122,0.0444141371238647,Khanh Hoa,South,Hospital,Tier 1
HCO1412,1349707612.0,384.0,18,0.0021247275664363486,0.04653886469030105,Hai Phong,North,Hospital,Tier 1
HCO1498,1272139922.0,357.0,19,0.002002619483365251,0.0485414841736663,Quang Binh,Central,Hospital,Tier 1
HCO0856,1257772512.0,366.0,20,0.0019800021166008607,0.05052148629026716,Nghe An,Central,Hospital,Tier 1
HCO0781,1234371225.0,343.0,21,0.001943163501231928,0.05246464979149909,Hanoi,North,Hospital,Tier 1
HCO0974,1232988010.0,356.0,22,0.0019409860258923222,0.05440563581739141,Bac Ninh,North,Hospital,Tier 1
HCO0837,1228767477.0,347.0,23,0.0019343420070467396,0.05633997782443815,Ho Chi Minh City,South,Hospital,Tier 1
HCO1859,1218101530.0,344.0,24,0.0019175515322716378,0.05825752935670979,Ho Chi Minh City,South,Hospital,Tier 1
HCO1095,1217839626.0,348.0,25,0.0019171392395323716,0.06017466859624216,Ha Tinh,Central,Hospital,Tier 1
HCO1321,1217142587.0,341.0,26,0.001916041951523462,0.062090710547765625,Binh Duong,South,Vax Center,Tier 1
HCO1276,1212738794.0,344.0,27,0.0019091094423631157,0.06399981999012874,Long An,South,Hospital,Tier 1
HCO1297,1196411411.0,332.0,28,0.001883406660190569,0.06588322665031932,Thanh Hoa,Central,Hospital,Tier 1
HCO0803,1156135324.0,338.0,29,0.0018200035115706376,0.06770323016188995,Nghe An,Central,Hospital,Tier 1
HCO1809,1142471835.0,325.0,30,0.0017984942665505391,0.06950172442844049,Dong Nai,South,Vax Center,Tier 1
HCO1825,1139087279.0,323.0,31,0.0017931662537502768,0.07129489068219078,Ho Chi Minh City,South,Vax Center,Tier 1
HCO1721,1127764292.0,319.0,32,0.001775341457920867,0.07307023214011164,Quang Ngai,Central,Vax Center,Tier 1
HCO1627,1120276965.0,318.0,33,0.0017635548087722784,0.07483378694888392,Thai Nguyen,North,Hospital,Tier 1
HCO0060,1105404858.0,320.0,34,0.0017401429413182103,0.07657392989020212,Quang Tri,Central,Vax Center,Tier 1
HCO0636,1099342211.0,314.0,35,0.00173059904226041,0.07830452893246254,Khanh Hoa,South,Hospital,Tier 1
HCO0936,1085920775.0,311.0,36,0.0017094708402729405,0.08001399977273548,Quang Binh,Central,Hospital,Tier 1
HCO0039,1071946331.0,311.0,37,0.0016874720857809038,0.08170147185851638,Hanoi,North,Hospital,Tier 1
HCO1210,1071633278.0,306.0,38,0.0016869792736096292,0.083388451132126,Bac Ninh,North,Vax Center,Tier 1
HCO0539,1050475647.0,291.0,39,0.0016536726511778455,0.08504212378330385,Thanh Hoa,Central,Vax Center,Tier 1
HCO1973,1049417578.0,298.0,40,0.0016520070249699881,0.08669413080827383,Can Tho,South,Hospital,Tier 1
HCO0319,1039460507.0,287.0,41,0.0016363324721656851,0.08833046328043952,Quang Nam,Central,Vax Center,Tier 1
