HCO_ID,HCO_Name,Province,Tier,Type,Sales,Growth
HCO_001,Bệnh viện Đa khoa 1,Ba Ria - Vung Tau,Tier 3,Public,1058163811,0.1920372217370924
HCO_002,Bệnh viện Đa khoa 2,Binh Duong,Tier 2,Public,919884088,0.36568438318391605
HCO_003,Bệnh viện Đa khoa 3,Ho Chi Minh City,Tier 1,Public,524642693,-0.039239944262960985
HCO_004,Bệnh viện Đa khoa 4,Quang Ngai,Tier 3,Public,498665186,0.2737796029014832
HCO_005,Bệnh viện Đa khoa 5,Nghe An,Tier 2,Private,1093065896,0.06118060937396355
HCO_006,Bệnh viện Đa khoa 6,Da Nang,Tier 2,Public,325401045,0.24239545848865288
HCO_007,Bệnh viện Đa khoa 7,Hue,Tier 2,Public,537338264,0.03775441558374634
HCO_008,Bệnh viện Đa khoa 8,Dong Nai,Tier 2,Public,811512931,-0.02411612750963807
HCO_009,Bệnh viện Đa khoa 9,Khanh Hoa,Tier 2,Public,839438920,0.2922207695428699
HCO_010,Bệnh viện Đa khoa 10,Quang Ngai,Tier 2,Public,412972012,-0.061146971688945534
HCO_011,Bệnh viện Đa khoa 11,Ha Tinh,Tier 2,Private,974175486,0.0707375121259444
HCO_012,Bệnh viện Đa khoa 12,Khanh Hoa,Tier 2,Public,388382257,0.35634400818085155
HCO_013,Bệnh viện Đa khoa 13,Ha Tinh,Tier 1,Public,103405081,0.21659114476026778
HCO_014,Bệnh viện Đa khoa 14,Can Tho,Tier 2,Public,1022224969,-0.006282798859648636
HCO_015,Bệnh viện Đa khoa 15,Thai Nguyen,Tier 1,Private,315427328,-0.0801033517105493
HCO_016,Bệnh viện Đa khoa 16,Da Nang,Tier 3,Public,735937546,0.185236576057311
HCO_017,Bệnh viện Đa khoa 17,Nghe An,Tier 3,Public,1151811610,-0.08410098959029191
HCO_018,Bệnh viện Đa khoa 18,Binh Dinh,Tier 3,Private,677435199,-0.08463308240737402
HCO_019,Bệnh viện Đa khoa 19,Thanh Hoa,Tier 2,Public,56349565,0.14302799675081393
HCO_020,Bệnh viện Đa khoa 20,Quang Binh,Tier 3,Private,1075373660,0.2772270702671341
HCO_021,Bệnh viện Đa khoa 21,Ninh Binh,Tier 2,Public,227206785,0.3030918186292144
HCO_022,Bệnh viện Đa khoa 22,Ninh Binh,Tier 2,Public,989977853,0.1179445737185609
HCO_023,Bệnh viện Đa khoa 23,Quang Ninh,Tier 3,Private,371763514,0.34397160338313437
HCO_024,Bệnh viện Đa khoa 24,Kien Giang,Tier 2,Private,581860436,0.18961352823062397
HCO_025,Bệnh viện Đa khoa 25,Can Tho,Tier 2,Public,461869764,0.3072086852730722
HCO_026,Bệnh viện Đa khoa 26,Ho Chi Minh City,Tier 1,Public,983799504,0.05828068727308092
HCO_027,Bệnh viện Đa khoa 27,Long An,Tier 2,Public,592861038,0.31326714943420275
HCO_028,Bệnh viện Đa khoa 28,Quang Ngai,Tier 2,Public,60313812,0.3000672032267838
HCO_029,Bệnh viện Đa khoa 29,Ba Ria - Vung Tau,Tier 2,Public,99950803,0.16422655163080666
HCO_030,Bệnh viện Đa khoa 30,Hung Yen,Tier 2,Public,797635765,0.24299116259435047
HCO_031,Bệnh viện Đa khoa 31,Quang Ninh,Tier 3,Public,572399424,0.05171143900996947
HCO_032,Bệnh viện Đa khoa 32,Thanh Hoa,Tier 2,Public,745012378,0.17026902328581753
HCO_033,Bệnh viện Đa khoa 33,Nam Dinh,Tier 3,Public,1083727166,0.28961549277040444
HCO_034,Bệnh viện Đa khoa 34,Ninh Binh,Tier 1,Public,852288674,0.3945111133044211
HCO_035,Bệnh viện Đa khoa 35,Can Tho,Tier 3,Public,462789048,-0.08169072306994354
HCO_036,Bệnh viện Đa khoa 36,Lam Dong,Tier 3,Public,1193645211,0.1742031348922171
HCO_037,Bệnh viện Đa khoa 37,Vinh Phuc,Tier 2,Public,177218840,0.20719627857897685
HCO_038,Bệnh viện Đa khoa 38,Nghe An,Tier 2,Public,1195774982,-0.065777710818092
HCO_039,Bệnh viện Đa khoa 39,Hue,Tier 3,Public,497030745,0.22325127378457363
HCO_040,Bệnh viện Đa khoa 40,Nghe An,Tier 2,Public,590375188,-0.010320492653974916
HCO_041,Bệnh viện Đa khoa 41,Kien Giang,Tier 2,Public,176212446,0.3601417213368031
HCO_042,Bệnh viện Đa khoa 42,Quang Tri,Tier 2,Public,874272477,0.3575308708863827
HCO_043,Bệnh viện Đa khoa 43,Khanh Hoa,Tier 3,Public,934781290,0.11665788226999071
HCO_044,Bệnh viện Đa khoa 44,Quang Ninh,Tier 2,Private,392566396,-0.006987183355859933
HCO_045,Bệnh viện Đa khoa 45,Nghe An,Tier 2,Public,1121666508,-0.040665474773200455
HCO_046,Bệnh viện Đa khoa 46,Hanoi,Tier 2,Private,132351256,0.06563036378206097
HCO_047,Bệnh viện Đa khoa 47,Can Tho,Tier 2,Public,146653756,-0.021540815061036528
HCO_048,Bệnh viện Đa khoa 48,Nam Dinh,Tier 2,Public,437706400,-0.03416774594801983
HCO_049,Bệnh viện Đa khoa 49,Binh Duong,Tier 2,Public,139205569,0.30817622462286665
HCO_050,Bệnh viện Đa khoa 50,Hai Phong,Tier 3,Public,483698466,-0.013794762930124854
