HCP_ID,Age_Group,Gender,Sales,Units,Active_HCC
HCP00001,15-18,Female,813.02,14,2
HCP00001,19-45,Female,1597.1399999999999,28,2
HCP00001,19-45,Male,854.47,17,2
HCP00001,9-14,Female,291.33000000000004,6,1
HCP00001,9-14,Male,104.14,2,1
HCP00002,15-18,Female,2384.91,48,2
HCP00002,15-18,Male,435.1,8,1
HCP00002,19-45,Female,5127.37,93,2
HCP00002,19-45,Male,4992.389999999999,81,2
HCP00002,9-14,Female,1832.48,33,1
HCP00002,9-14,Male,643.3299999999999,13,1
HCP00003,15-18,Female,1508.08,30,3
HCP00003,15-18,Male,982.09,17,2
HCP00003,19-45,Female,3014.33,59,2
HCP00003,19-45,Male,3324.6,61,3
HCP00003,9-14,Female,431.62,8,1
HCP00003,9-14,Male,1047.1200000000001,17,2
HCP00004,15-18,Female,1738.54,35,2
HCP00004,15-18,Male,1425.31,27,2
HCP00004,19-45,Female,1247.73,23,1
HCP00004,19-45,Male,2552.1800000000003,50,2
HCP00004,9-14,Female,420.83000000000004,8,1
HCP00004,9-14,Male,1154.98,22,2
HCP00005,15-18,Female,4578.77,80,2
HCP00005,15-18,Male,2935.8599999999997,54,3
HCP00005,19-45,Female,5686.150000000001,104,3
HCP00005,19-45,Male,4341.9,82,3
HCP00005,9-14,Female,1129.29,24,2
HCP00005,9-14,Male,2313.61,41,3
HCP00006,15-18,Female,558.24,10,4
HCP00006,15-18,Male,979.35,18,3
HCP00006,19-45,Female,1130.79,20,7
HCP00006,19-45,Male,1090.42,19,6
HCP00006,9-14,Female,889.93,15,5
HCP00006,9-14,Male,173.75,3,2
HCP00007,15-18,Female,1820.97,33,1
HCP00007,15-18,Male,2585.76,46,1
HCP00007,19-45,Female,2952.75,55,1
HCP00007,19-45,Male,1773.8899999999999,29,1
HCP00007,9-14,Female,326.94,7,1
HCP00007,9-14,Male,658.66,12,1
HCP00008,15-18,Female,1270.23,21,3
HCP00008,15-18,Male,1469.52,27,4
HCP00008,19-45,Female,913.24,16,2
HCP00008,19-45,Male,2210.52,42,6
HCP00008,9-14,Female,1003.36,18,4
HCP00008,9-14,Male,648.65,12,3
HCP00009,15-18,Female,349.15999999999997,6,2
HCP00009,15-18,Male,262.78,5,1
HCP00009,19-45,Female,730.28,13,2
HCP00009,19-45,Male,253.04,5,2
HCP00009,9-14,Female,614.79,10,1
HCP00009,9-14,Male,46.04,1,2
HCP00010,15-18,Female,5702.43,99,3
HCP00010,15-18,Male,6125.91,102,2
HCP00010,19-45,Female,2486.28,44,2
HCP00010,19-45,Male,8803.35,159,2
HCP00010,9-14,Female,1466.83,28,2
HCP00010,9-14,Male,3925.83,67,3
HCP00011,15-18,Female,193.39,4,1
HCP00011,15-18,Male,1363.72,24,2
HCP00011,19-45,Female,1782.49,31,2
HCP00011,19-45,Male,2081.18,39,2
HCP00011,9-14,Female,475.79999999999995,8,1
HCP00011,9-14,Male,1047.69,19,1
HCP00012,15-18,Female,3253.92,59,2
HCP00012,15-18,Male,10966.78,202,2
HCP00012,19-45,Female,9653.51,177,2
HCP00012,19-45,Male,12811.210000000001,216,2
HCP00012,9-14,Female,3829.16,74,2
HCP00012,9-14,Male,8099.53,143,2
HCP00013,15-18,Female,2876.9700000000003,61,1
HCP00013,15-18,Male,2924.97,50,1
HCP00013,19-45,Female,19222.28,353,4
HCP00013,19-45,Male,11169.64,206,4
HCP00013,9-14,Female,7740.9,137,4
HCP00013,9-14,Male,4454.37,82,3
HCP00014,15-18,Female,1742.27,31,1
HCP00014,15-18,Male,1159.25,19,1
HCP00014,19-45,Female,2817.87,51,1
HCP00014,19-45,Male,3173.3599999999997,58,1
HCP00014,9-14,Female,1072.73,19,1
HCP00014,9-14,Male,1273.79,24,1
HCP00015,15-18,Female,655.16,12,2
HCP00015,15-18,Male,393.11,7,3
HCP00015,19-45,Female,1039.09,21,2
HCP00015,19-45,Male,523.03,10,3
HCP00015,9-14,Male,113.04,2,2
HCP00016,15-18,Female,529.73,11,1
HCP00016,15-18,Male,1026.24,19,2
HCP00016,19-45,Female,1307.43,22,2
HCP00016,19-45,Male,524.29,9,1
HCP00016,9-14,Female,1332.8799999999999,24,5
HCP00016,9-14,Male,1017.67,20,4
HCP00017,15-18,Female,2100.6099999999997,35,1
HCP00017,19-45,Female,6077.13,110,1
HCP00017,19-45,Male,1767.8600000000001,33,1
HCP00017,9-14,Female,2417.42,48,1
HCP00017,9-14,Male,716.99,14,1
HCP00018,15-18,Female,2953.6400000000003,52,4
HCP00018,15-18,Male,2079.83,34,3
HCP00018,19-45,Female,4691.81,92,8
HCP00018,19-45,Male,2313.0099999999998,42,5
HCP00018,9-14,Female,1162.9,22,2
HCP00018,9-14,Male,2126.94,36,3
HCP00019,15-18,Female,600.86,11,3
HCP00019,15-18,Male,874.63,17,3
HCP00019,19-45,Female,2631.26,46,8
HCP00019,19-45,Male,3162.43,60,10
HCP00019,9-14,Female,583.1,11,3
HCP00019,9-14,Male,843.0,15,3
HCP00020,15-18,Female,4398.59,80,2
HCP00020,15-18,Male,2807.45,49,2
HCP00020,19-45,Female,3878.8600000000006,70,2
HCP00020,19-45,Male,2582.54,48,2
HCP00020,9-14,Female,1033.75,16,1
HCP00021,15-18,Female,875.29,17,2
HCP00021,15-18,Male,314.33000000000004,6,1
HCP00021,19-45,Female,702.09,12,2
HCP00021,19-45,Male,1523.4,29,2
HCP00021,9-14,Female,61.47,1,1
HCP00021,9-14,Male,91.78,2,1
HCP00022,15-18,Female,572.38,11,4
HCP00022,15-18,Male,699.21,13,4
HCP00022,19-45,Female,1610.8899999999999,27,6
HCP00022,19-45,Male,1067.2,19,5
HCP00022,9-14,Female,582.01,10,3
HCP00022,9-14,Male,90.44,2,1
HCP00023,15-18,Female,6278.79,118,1
HCP00023,19-45,Female,8826.8,157,1
HCP00023,19-45,Male,7906.32,146,1
HCP00023,9-14,Female,5953.33,108,1
HCP00023,9-14,Male,6844.84,139,1
HCP00024,15-18,Female,1839.15,33,3
HCP00024,15-18,Male,1125.31,19,3
HCP00024,19-45,Female,2433.57,46,2
HCP00024,19-45,Male,2513.87,44,3
HCP00024,9-14,Female,423.06,9,2
HCP00024,9-14,Male,1114.04,19,2
HCP00025,15-18,Female,3936.86,65,2
HCP00025,15-18,Male,4196.0599999999995,77,2
HCP00025,19-45,Female,4528.51,80,2
HCP00025,19-45,Male,7511.46,130,2
HCP00025,9-14,Female,1465.2,24,1
HCP00025,9-14,Male,1353.73,29,2
HCP00026,15-18,Female,1409.75,25,1
