Month,Target_HCP,Target_Engaged_HCP,Target_Contacted_HCP,Engagement_Rate,Monthly_Contact_Rate,Target_HCP_Growth,Engaged_HCP_Growth
2025-01-01,1100,96,96,0.08727272727272728,0.08727272727272728,0.0,0.0
2025-02-01,1100,181,95,0.16454545454545455,0.08636363636363636,0.0,0.8854166666666667
2025-03-01,1100,272,110,0.24727272727272728,0.1,0.0,0.5027624309392265
2025-04-01,1100,340,94,0.3090909090909091,0.08545454545454545,0.0,0.25
2025-05-01,1100,417,105,0.3790909090909091,0.09545454545454546,0.0,0.2264705882352942
2025-06-01,1100,494,118,0.4490909090909091,0.10727272727272727,0.0,0.184652278177458
2025-07-01,1100,561,120,0.51,0.10909090909090909,0.0,0.13562753036437236
2025-08-01,1100,608,102,0.5527272727272727,0.09272727272727273,0.0,0.08377896613190727
2025-09-01,1100,647,91,0.5881818181818181,0.08272727272727273,0.0,0.06414473684210531
2025-10-01,1100,685,102,0.6227272727272727,0.09272727272727273,0.0,0.05873261205564151
2025-11-01,1100,722,118,0.6563636363636364,0.10727272727272727,0.0,0.0540145985401459
2025-12-01,1100,757,96,0.6881818181818182,0.08727272727272728,0.0,0.0484764542936289
2026-01-01,1100,783,93,0.7118181818181818,0.08454545454545455,0.0,0.034346103038309206
2026-02-01,1100,803,97,0.73,0.08818181818181818,0.0,0.025542784163473886
2026-03-01,1100,829,80,0.7536363636363637,0.07272727272727272,0.0,0.03237858032378571
2026-04-01,1100,852,107,0.7745454545454545,0.09727272727272727,0.0,0.027744270205066313
2026-05-01,1100,875,88,0.7954545454545454,0.08,0.0,0.02699530516431925
2026-06-01,1100,895,109,0.8136363636363636,0.09909090909090909,0.0,0.02285714285714291
2026-07-01,1100,916,98,0.8327272727272728,0.0890909090909091,0.0,0.02346368715083802
2026-08-01,1100,937,103,0.8518181818181818,0.09363636363636364,0.0,0.022925764192139653
