Region,Opportunity_Segment,HCP_Count,Target_HCP,Sales
Central,Emerging / Efficient,491,28,60353616315.0
Central,High Performer,334,116,82981362971.0
Central,Low Priority,356,12,13449436933.0
Central,Untapped Potential,494,220,56645573072.0
North,Emerging / Efficient,511,18,61779733136.0
North,High Performer,333,119,79457291813.0
North,Low Priority,353,9,13243556042.0
North,Untapped Potential,539,226,59125395249.0
South,Emerging / Efficient,493,16,61865436564.0
South,High Performer,338,111,84012825895.0
South,Low Priority,296,11,11082865161.0
South,Untapped Potential,462,214,51240870210.0
