Specialty,Opportunity_Segment,HCP_Count,Target_HCP,Sales
Family Medicine,Emerging / Efficient,239,12,30918885676.0
Family Medicine,High Performer,152,45,36713328896.0
Family Medicine,Low Priority,138,4,5008228196.0
Family Medicine,Untapped Potential,217,100,23947255811.0
General Practice,Emerging / Efficient,292,10,37246437459.0
General Practice,High Performer,204,58,48813501300.0
General Practice,Low Priority,186,4,7186816506.0
General Practice,Untapped Potential,306,132,32082539429.0
Gynecology,Emerging / Efficient,439,24,51517756064.0
Gynecology,High Performer,306,114,75446049221.0
Gynecology,Low Priority,307,8,11549207421.0
Gynecology,Untapped Potential,417,191,46625939986.0
Infectious Disease,Emerging / Efficient,114,2,14438328129.0
Infectious Disease,High Performer,73,25,18889577742.0
Infectious Disease,Low Priority,82,3,3019406633.0
Infectious Disease,Untapped Potential,123,43,13282974486.0
Oncology,Emerging / Efficient,116,9,13322376718.0
Oncology,High Performer,91,31,22384518157.0
Oncology,Low Priority,82,2,3106098728.0
Oncology,Untapped Potential,125,52,13165902646.0
Pediatrics,Emerging / Efficient,295,5,36555001969.0
Pediatrics,High Performer,179,73,44204505363.0
Pediatrics,Low Priority,210,11,7906100652.0
Pediatrics,Untapped Potential,307,142,37907226173.0
