HCP_Tier,Opportunity_Segment,HCP_Count,Target_HCP,Sales
Tier 1,Emerging / Efficient,16,0,2101272960.0
Tier 1,High Performer,290,142,85982248293.0
Tier 1,Low Priority,21,0,749595077.0
Tier 1,Untapped Potential,684,412,99967294110.0
Tier 2,Emerging / Efficient,519,8,75314461326.0
Tier 2,High Performer,705,200,158430571712.0
Tier 2,Low Priority,470,6,20128695978.0
Tier 2,Untapped Potential,808,246,66918229675.0
Tier 3,Emerging / Efficient,960,54,106583051729.0
Tier 3,High Performer,10,4,2038660674.0
Tier 3,Low Priority,514,26,16897567081.0
Tier 3,Untapped Potential,3,2,126314746.0
