Month,Sales,Units,Month_Label,Target_HCP,Engaged_HCP,HCC_Target,HCC_Vax,Sales_Growth
2025-01-01,12810451193.0,3556.0,2025-01,1200,12810751,45000,6405725,0.0
2025-02-01,23361296419.0,6495.0,2025-02,1200,23361596,45000,11681148,0.8236123042852141
2025-03-01,23163211970.0,6432.0,2025-03,1200,23163511,45000,11582105,-0.008479171936660812
2025-04-01,23382471730.0,6504.0,2025-04,1200,23382771,45000,11691735,0.009465861655282293
2025-05-01,23461946970.0,6520.0,2025-05,1200,23462246,45000,11731473,0.0033989238142875244
2025-06-01,27330200253.0,7805.0,2025-06,1200,27330500,45000,13665600,0.16487349868901346
2025-07-01,28258152439.0,8039.0,2025-07,1200,28258452,45000,14129576,0.03395336211991862
2025-08-01,28007148704.0,7991.0,2025-08,1200,28007448,45000,14004074,-0.008882524628665456
2025-09-01,27529426039.0,7887.0,2025-09,1200,27529726,45000,13765213,-0.017057168869595518
2025-10-01,28046674662.0,8012.0,2025-10,1200,28046974,45000,14023837,0.018788935965000864
2025-11-01,28985075360.0,8270.0,2025-11,1200,28985375,45000,14493037,0.03345853686075029
2025-12-01,28622963753.0,8188.0,2025-12,1200,28623263,45000,14311981,-0.012493036588744566
2026-01-01,34658806027.0,9854.0,2026-01,1200,34659106,45000,17329903,0.21087411932900824
2026-02-01,40401509617.0,11459.0,2026-02,1200,40401809,45000,20201254,0.16569248189122
2026-03-01,41119780728.0,11652.0,2026-03,1200,41120080,45000,20560390,0.017778323577735122
2026-04-01,41761962405.0,11869.0,2026-04,1200,41762262,45000,20881481,0.015617341961230657
2026-05-01,42041734240.0,11914.0,2026-05,1200,42042034,45000,21021367,0.006699202309671692
2026-06-01,44083948049.0,12606.0,2026-06,1200,44084248,45000,22042474,0.0485758698093135
2026-07-01,44095021885.0,12591.0,2026-07,1200,44095321,45000,22048010,0.0002511988261053588
2026-08-01,44116180918.0,12620.0,2026-08,1200,44116480,45000,22058590,0.00047985083339296963
