Month,Target_HCP,Target_HCP_Growth,Target_Engaged_HCP,Target_Contacted_HCP,Engagement_Rate,Monthly_Contact_Rate
2025-01,1100,0,96,96,0.08727272727272728,0.08727272727272728
2025-02,1100,0,181,95,0.16454545454545455,0.08636363636363636
2025-03,1100,0,272,110,0.24727272727272728,0.1
2025-04,1100,0,340,94,0.3090909090909091,0.08545454545454545
2025-05,1100,0,417,105,0.3790909090909091,0.09545454545454546
2025-06,1100,0,494,118,0.4490909090909091,0.10727272727272727
2025-07,1100,0,561,120,0.51,0.10909090909090909
2025-08,1100,0,608,102,0.5527272727272727,0.09272727272727273
2025-09,1100,0,647,91,0.5881818181818181,0.08272727272727273
2025-10,1100,0,685,102,0.6227272727272727,0.09272727272727273
2025-11,1100,0,722,118,0.6563636363636364,0.10727272727272727
2025-12,1100,0,757,96,0.6881818181818182,0.08727272727272728
2026-01,1100,0,783,93,0.7118181818181818,0.08454545454545455
2026-02,1100,0,803,97,0.73,0.08818181818181818
2026-03,1100,0,829,80,0.7536363636363637,0.07272727272727272
2026-04,1100,0,852,107,0.7745454545454545,0.09727272727272727
2026-05,1100,0,875,88,0.7954545454545454,0.08
2026-06,1100,0,895,109,0.8136363636363636,0.09909090909090909
2026-07,1100,0,916,98,0.8327272727272728,0.0890909090909091
2026-08,1100,0,937,103,0.8518181818181818,0.09363636363636364
