HCP_ID,HCO_ID,HCO_Type,Province_ID,Province,Region,Specialty,Patient_Potential,Vaccine_X_Relevance,Influence_Score,Digital_Affinity,Target_Score,Target_HCP,_Cleaning_Duplicate_Issue,HCP_Tier,Sales,Units,Vaccinated_HCC,Total_Doses,Ever_Engaged,Months_Contacted,Last_Contact_Month,Contacted_This_Month_Latest,Target_Engaged,Target_Never_Engaged,Monthly_Contact_Flag,Monthly_Vaccine_X_Potential,Period_Vaccine_X_Potential,Actual_Uptake_Rate,Potential_Level,Uptake_Level,Opportunity_Segment,White_Space,Re_Engagement,Conversion_Gap
HCP03619,HCO1256,Vax Center,P28,Tien Giang,South,Family Medicine,190.0,0.461252752864015,0.9898700691593872,0.5996358588103557,0.5057942841355265,1,False,Tier 1,63205508.0,19.0,9.0,19.0,1,1,2026-05-01,0,1,0,0,87.63802304416285,1752.760460883257,0.00513475754437357,High Potential,Low Uptake,Untapped Potential,0,1,0
HCP04722,HCO1868,Vax Center,P08,Vinh Phuc,North,Pediatrics,309.0,0.8749038406157984,0.9843262237955828,0.8095938670394888,0.7389660265734856,1,False,Tier 1,339939824.0,94.0,48.0,94.0,1,3,2026-07-01,0,1,0,0,270.34528675028173,5406.905735005635,0.00887753594245896,High Potential,Low Uptake,Untapped Potential,0,1,0
HCP00039,HCO0684,Vax Center,P27,Long An,South,Infectious Disease,118.0,0.4749071664322328,0.972964452668354,0.580618149581106,0.4398428182411183,0,False,Tier 1,92153317.0,26.0,13.0,26.0,1,1,2026-06-01,0,0,0,0,56.03904563900347,1120.7809127800695,0.011599055490473888,High Potential,Low Uptake,Untapped Potential,0,1,0
HCP02874,HCO1153,Vax Center,P03,Quang Ninh,North,Family Medicine,80.0,0.699881450929825,0.963510689647547,0.4737782112468717,0.4702591658010495,1,False,Tier 2,92054657.0,25.0,14.0,25.0,1,1,2026-02-01,0,1,0,0,55.990516074386,1119.81032148772,0.012502117306259821,High Potential,Low Uptake,Untapped Potential,0,1,0
HCP02601,HCO0181,Vax Center,P21,Khanh Hoa,South,Family Medicine,113.0,0.7094043779907964,0.9634919117856816,0.4610625990076277,0.5036678439025234,1,False,Tier 1,162621880.0,47.0,24.0,47.0,1,3,2026-04-01,0,1,0,0,80.16269471295999,1603.2538942591998,0.01496955665346408,High Potential,Low Uptake,Untapped Potential,0,1,0
HCP01703,HCO0606,Vax Center,P03,Quang Ninh,North,Infectious Disease,81.0,0.8369230878639334,0.9622890551654348,0.2471467474364367,0.5120532559107855,1,False,Tier 2,83466434.0,23.0,11.0,23.0,1,1,2025-11-01,0,1,0,0,67.7907701169786,1355.815402339572,0.00811319887723549,High Potential,Low Uptake,Untapped Potential,0,1,0
HCP00783,HCO1434,Vax Center,P10,Ninh Binh,North,Gynecology,75.0,0.9521160172827378,0.9618138314309816,0.2105555043339864,0.5409605344339805,1,False,Tier 2,116480899.0,34.0,18.0,34.0,0,0,,0,0,1,0,71.40870129620534,1428.1740259241067,0.012603506066673504,High Potential,Low Uptake,Untapped Potential,1,0,0
HCP04542,HCO1701,Vax Center,P29,Can Tho,South,Infectious Disease,82.0,0.8334286584485618,0.9609690964554792,0.2816032823692713,0.5116668612701087,1,False,Tier 2,69538739.0,20.0,9.0,20.0,0,0,,0,0,1,0,68.34114999278206,1366.8229998556412,0.006584612638908291,High Potential,Low Uptake,Untapped Potential,1,0,0
HCP03578,HCO1045,Vax Center,P25,Ho Chi Minh City,South,General Practice,95.0,0.8751607408579534,0.955508081208725,0.4979372288179696,0.5351313199806125,1,False,Tier 2,170849706.0,48.0,22.0,48.0,1,1,2025-09-01,0,1,0,0,83.14027038150557,1662.8054076301114,0.01323065218518574,High Potential,Low Uptake,Untapped Potential,0,1,0
HCP03565,HCO0650,Vax Center,P11,Thanh Hoa,Central,General Practice,105.0,0.8202907100333403,0.951481031999316,0.6679304046274348,0.527124160150606,1,False,Tier 1,85179369.0,24.0,12.0,24.0,0,0,,0,0,1,0,86.13052455350073,1722.6104910700146,0.0069661714370182985,High Potential,Low Uptake,Untapped Potential,1,0,0
HCP01739,HCO1865,Hospital,P09,Nam Dinh,North,Family Medicine,66.0,0.8221249273832993,0.9495260098372664,0.9014717953384936,0.4911723098120727,1,False,Tier 2,62170212.0,18.0,8.0,18.0,1,2,2026-05-01,0,1,0,0,54.26024520729776,1085.2049041459552,0.0073718796970383355,High Potential,Low Uptake,Untapped Potential,0,1,0
HCP00501,HCO1720,Hospital,P13,Ha Tinh,Central,Infectious Disease,74.0,0.6151343077485769,0.9489525396159312,0.3383591591830234,0.4363678372847963,0,False,Tier 2,61720534.0,19.0,7.0,19.0,1,2,2026-07-01,0,0,0,0,45.51993877339469,910.3987754678939,0.007688938285755485,High Potential,Low Uptake,Untapped Potential,0,1,0
HCP03779,HCO1695,Vax Center,P14,Quang Binh,Central,Gynecology,172.0,0.4092014880069883,0.9480398610453914,0.2233876574286681,0.4651461963889526,1,False,Tier 1,166014106.0,51.0,20.0,51.0,1,2,2026-02-01,0,1,0,0,70.38265593720199,1407.6531187440398,0.0142080458130514,High Potential,Low Uptake,Untapped Potential,0,1,0
HCP00398,HCO0804,Hospital,P20,Binh Dinh,Central,Gynecology,97.0,0.9159744405450944,0.947047906888796,0.7333347996975684,0.5475352468746209,1,False,Tier 2,143065646.0,38.0,19.0,38.0,1,2,2026-07-01,0,1,0,0,88.84952073287415,1776.9904146574831,0.010692235502948547,High Potential,Low Uptake,Untapped Potential,0,1,0
HCP01833,HCO1801,Vax Center,P14,Quang Binh,Central,General Practice,49.0,0.931603806837468,0.9458132780263332,0.8280562646033328,0.507532686545396,1,False,Tier 2,48055444.0,12.0,6.0,12.0,1,2,2025-05-01,0,1,0,0,45.64858653503593,912.9717307007186,0.006571944999211439,High Potential,Low Uptake,Untapped Potential,0,1,0
HCP00992,HCO1793,Vax Center,P15,Quang Tri,Central,Pediatrics,87.0,0.7165226724180012,0.9458070714276924,0.7065809611967322,0.4781922900850128,1,False,Tier 2,49522959.0,14.0,7.0,14.0,1,3,2026-08-01,1,1,0,1,62.337472500366104,1246.7494500073221,0.005614600431513236,High Potential,Low Uptake,Untapped Potential,0,0,0
HCP02865,HCO0346,Vax Center,P04,Bac Ninh,North,Family Medicine,103.0,0.7517779320285999,0.9446429980185178,0.6790950566345014,0.5033508681011725,1,False,Tier 1,155496026.0,45.0,21.0,45.0,1,1,2025-07-01,0,1,0,0,77.43312699894578,1548.6625399789157,0.013560087790517556,High Potential,Low Uptake,Untapped Potential,0,1,0
