HCP_ID,Region,Province,Specialty,HCP_Tier,Patient_Potential,Vaccine_X_Relevance,Influence_Score,Target_HCP,Ever_Engaged,Sales,Vaccinated_HCC,Actual_Uptake_Rate,Opportunity_Segment,Latest_Growth
HCP00760,South,Long An,Pediatrics,Tier 2,53.0,0.7742484891579208,0.9972319903435032,1,1,456360189.0,66.0,0.08041882136717533,High Performer,0.5141856988508584
HCP03619,South,Tien Giang,Family Medicine,Tier 1,190.0,0.461252752864015,0.9898700691593872,1,1,63205508.0,9.0,0.00513475754437357,Untapped Potential,-0.01625979030044633
HCP00496,North,Thai Nguyen,Gynecology,Tier 1,123.0,0.7866431216186347,0.9881767686967334,1,1,246717963.0,37.0,0.019120043121403897,High Performer,-0.19709486064876258
HCP04057,South,Can Tho,Pediatrics,Tier 2,53.0,0.7217257980763104,0.9863114904328616,1,0,44029378.0,8.0,0.01045711519726328,Low Priority,-0.40978160521259144
HCP04722,North,Vinh Phuc,Pediatrics,Tier 1,309.0,0.8749038406157984,0.9843262237955828,1,1,339939824.0,48.0,0.00887753594245896,Untapped Potential,0.37049236945336195
HCP03250,North,Nam Dinh,Gynecology,Tier 2,67.0,0.5379249347854953,0.9826291648867368,0,0,207065481.0,28.0,0.03884468080363679,Emerging / Efficient,0.6990998206733068
HCP02559,North,Bac Ninh,Oncology,Tier 3,20.0,0.7858838498570265,0.981234733423374,1,1,212900109.0,31.0,0.09861508162319321,Emerging / Efficient,-0.1857859622476451
HCP02053,South,Kien Giang,General Practice,Tier 2,63.0,0.516031255330805,0.981005673001142,0,1,181780291.0,25.0,0.03844974434455617,Emerging / Efficient,-0.23112929782184355
HCP04634,Central,Quang Ngai,Pediatrics,Tier 2,71.0,0.4222416913719766,0.9805390529652696,0,1,69034628.0,10.0,0.01667825244410278,Emerging / Efficient,0.25864132735179846
HCP02449,North,Ninh Binh,Gynecology,Tier 3,36.0,0.5375147934535417,0.9804887931212632,0,1,141617733.0,20.0,0.05167816424047622,Emerging / Efficient,-0.33175789503059017
HCP03504,Central,Nghe An,Gynecology,Tier 1,112.0,0.289234184579754,0.9795458252956096,0,0,98301612.0,13.0,0.02006530257481076,Emerging / Efficient,0.0673733178111684
HCP02184,North,Bac Ninh,Pediatrics,Tier 2,47.0,0.3796228967308475,0.9795300966842888,0,1,5799930.0,1.0,0.0028023330425938388,Low Priority,0.0
HCP02377,South,Ba Ria - Vung Tau,Oncology,Tier 3,28.0,0.6312480471744024,0.978358021012783,0,1,16674310.0,2.0,0.005657726130662944,Low Priority,0.0
HCP00331,South,Binh Duong,Pediatrics,Tier 3,37.0,0.2969726535650002,0.9778947842703728,0,1,38910832.0,6.0,0.027302541196216366,Emerging / Efficient,-0.6621482932139164
HCP02763,North,Vinh Phuc,Family Medicine,Tier 2,88.0,0.9224230831453148,0.9778668487435188,1,1,282351918.0,36.0,0.02217479790813423,High Performer,-0.22779175880956348
HCP01542,Central,Quang Nam,General Practice,Tier 3,43.0,0.8088088264150364,0.975361716572888,1,0,183651788.0,28.0,0.04025443154372386,Emerging / Efficient,0.6145613331767712
HCP02154,North,Vinh Phuc,General Practice,Tier 2,67.0,0.7072752354888183,0.9742286266911012,1,1,117332758.0,16.0,0.016882110256851282,High Performer,-0.20010557891723146
HCP01727,South,Dong Nai,Family Medicine,Tier 2,47.0,0.8336171519877057,0.973818446566684,1,1,145733891.0,20.0,0.025523222133743525,Emerging / Efficient,-0.19100399886660013
HCP04283,South,Ho Chi Minh City,Gynecology,Tier 2,84.0,0.6991336763932584,0.9737146028896853,1,1,186659142.0,30.0,0.025541814763187464,High Performer,-0.2409974494321626
HCP02150,Central,Quang Ngai,General Practice,Tier 3,42.0,0.8316261590622923,0.973639463294262,1,1,251358789.0,38.0,0.05439715278930603,Emerging / Efficient,-0.4056247850727879
HCP00039,South,Long An,Infectious Disease,Tier 1,118.0,0.4749071664322328,0.972964452668354,0,1,92153317.0,13.0,0.011599055490473888,Untapped Potential,-0.28012283693374507
HCP01778,North,Nam Dinh,Pediatrics,Tier 1,106.0,0.5291725270047516,0.9722891196921236,1,1,149339557.0,22.0,0.01961053902269733,High Performer,0.07036527087531352
HCP01697,South,Ba Ria - Vung Tau,Gynecology,Tier 3,43.0,0.3895085323743349,0.9714032390092308,0,0,17876418.0,2.0,0.00597055315110235,Low Priority,-0.35932179962680555
HCP00464,North,Hanoi,Pediatrics,Tier 2,55.0,0.4472706166879457,0.97082453431428,0,1,419495158.0,61.0,0.12398432489303292,Emerging / Efficient,-0.24905532568708788
HCP03861,Central,Nghe An,Pediatrics,Tier 2,68.0,0.5265872067848674,0.970361716507899,0,0,266920454.0,36.0,0.05026819469639802,Emerging / Efficient,0.9389496233743964
HCP03043,Central,Hue,Pediatrics,Tier 3,35.0,0.6585515668653468,0.9702834066804266,0,1,16188531.0,3.0,0.006507788457802851,Low Priority,0.0
HCP03618,North,Quang Ninh,Gynecology,Tier 3,37.0,0.7811035857993468,0.9699447385619422,1,1,114209560.0,15.0,0.025950809391723086,Emerging / Efficient,-0.011853530167806325
HCP02513,South,Ba Ria - Vung Tau,General Practice,Tier 1,115.0,0.3653065504820079,0.9695787872484886,0,0,281695392.0,43.0,0.05117798229800383,High Performer,-0.16512534508327126
HCP02330,Central,Quang Ngai,Oncology,Tier 3,33.0,0.9236372979032514,0.9684619383950888,1,0,140612393.0,19.0,0.031167947475952015,Emerging / Efficient,-0.05725234824307601
HCP02990,Central,Ha Tinh,Infectious Disease,Tier 2,57.0,0.905164895036068,0.96703647703992,1,1,131717025.0,19.0,0.018412851357876125,High Performer,-0.6384616422933889
HCP00071,North,Hanoi,Gynecology,Tier 2,55.0,0.5365521722658293,0.966690631001364,0,1,60981298.0,8.0,0.013554557503727848,Low Priority,0.0
HCP00296,South,Lam Dong,Family Medicine,Tier 2,81.0,0.421868999782077,0.9660671108109676,0,1,134798289.0,20.0,0.02926424795072175,Emerging / Efficient,0.2618712627181041
HCP00271,North,Hai Duong,General Practice,Tier 1,115.0,0.6646652238637688,0.9659270110686168,1,1,295758108.0,43.0,0.028127922904155042,High Performer,-0.09380261684642999
HCP02287,South,Binh Duong,Oncology,Tier 2,54.0,0.8309601255913968,0.9656046054174724,1,1,143975670.0,22.0,0.024514257354855285,High Performer,0.5106958575156604
HCP04016,North,Thai Nguyen,Gynecology,Tier 2,93.0,0.8603855052973288,0.9647714576647644,1,1,226029547.0,35.0,0.021870666329475753,High Performer,0.18323956245550543
HCP02874,North,Quang Ninh,Family Medicine,Tier 2,80.0,0.699881450929825,0.963510689647547,1,1,92054657.0,14.0,0.012502117306259821,Untapped Potential,0.8276426820694169
HCP02601,South,Khanh Hoa,Family Medicine,Tier 1,113.0,0.7094043779907964,0.9634919117856816,1,1,162621880.0,24.0,0.01496955665346408,Untapped Potential,0.10148097468297235
HCP00590,Central,Quang Binh,Gynecology,Tier 2,59.0,0.8185564843404898,0.9633381977743396,1,1,228480149.0,31.0,0.03209453097405323,High Performer,0.19255715758836778
HCP03570,South,Ba Ria - Vung Tau,Gynecology,Tier 1,124.0,0.5930199386701318,0.9628655845343383,1,1,220427972.0,30.0,0.020398596075328984,High Performer,0.6147863457441194
