HCP_ID,HCO_ID,HCO_Type,Province_ID,Province,Region,Specialty,Patient_Potential,Vaccine_X_Relevance,Influence_Score,Digital_Affinity,Target_Score,Target_HCP,_Cleaning_Duplicate_Issue,HCP_Tier,Sales,Units,Vaccinated_HCC,Total_Doses,Ever_Engaged,Months_Contacted,Last_Contact_Month,Contacted_This_Month_Latest,Target_Engaged,Target_Never_Engaged,Monthly_Contact_Flag,Monthly_Vaccine_X_Potential,Period_Vaccine_X_Potential,Actual_Uptake_Rate,Potential_Level,Uptake_Level,Opportunity_Segment,White_Space,Re_Engagement,Conversion_Gap
HCP02575,HCO1721,Vax Center,P19,Quang Ngai,Central,Gynecology,50.0,0.8403942262383274,0.8800028357549257,0.4669578332753116,0.4679336498372981,1,False,Tier 2,1043725177.0,299.0,153.0,299.0,1,1,2025-08-01,0,1,0,0,42.01971131191637,840.3942262383273,0.1820574145122824,High Potential,High Uptake,High Performer,0,1,0
HCP00316,HCO0052,Hospital,P12,Nghe An,Central,Gynecology,122.0,0.9561096661508404,0.8323252653552535,0.2690827334496684,0.5597794343977843,1,False,Tier 1,979415169.0,278.0,132.0,278.0,1,3,2026-04-01,0,1,0,0,116.64537927040253,2332.9075854080506,0.05658175267020352,High Potential,High Uptake,High Performer,0,1,0
HCP02123,HCO0803,Hospital,P12,Nghe An,Central,Infectious Disease,66.0,0.8849829510470623,0.3015608151795242,0.2631231645032737,0.3804366779796532,0,False,Tier 2,788964138.0,232.0,111.0,232.0,0,0,,0,0,0,0,58.408874769106106,1168.177495382122,0.0950198068690673,High Potential,High Uptake,High Performer,0,0,0
HCP00696,HCO1151,Vax Center,P23,Dong Nai,South,Oncology,71.0,0.8117732627142953,0.7252116870313882,0.4884876168731317,0.4478335754798254,1,False,Tier 2,777728415.0,221.0,115.0,221.0,1,1,2026-03-01,0,1,0,0,57.63590165271496,1152.7180330542992,0.0997642065989809,High Potential,High Uptake,High Performer,0,1,0
HCP04256,HCO0539,Vax Center,P11,Thanh Hoa,Central,Gynecology,84.0,0.8113055612005832,0.8539614452298147,0.2939318025501868,0.4854802537024342,1,False,Tier 2,755777725.0,212.0,109.0,212.0,1,2,2026-02-01,0,1,0,0,68.14966714084899,1362.9933428169797,0.07997104356703841,High Potential,High Uptake,High Performer,0,1,0
HCP02734,HCO1710,Hospital,P23,Dong Nai,South,Pediatrics,335.0,0.7676017125599528,0.5369541057715941,0.3875062851173148,0.6413750386260084,1,False,Tier 1,751927615.0,209.0,103.0,209.0,1,1,2025-03-01,0,1,0,0,257.1465737075842,5142.931474151684,0.020027488314335287,High Potential,High Uptake,High Performer,0,1,0
HCP01343,HCO1728,Hospital,P30,Kien Giang,South,Gynecology,92.0,0.6859040033157676,0.7003189696783239,0.826699262136033,0.4245386986340987,0,False,Tier 2,746731056.0,214.0,104.0,214.0,1,1,2025-09-01,0,0,0,0,63.10316830505062,1262.0633661010124,0.08240473718946066,High Potential,High Uptake,High Performer,0,1,0
HCP01413,HCO0922,Hospital,P07,Thai Nguyen,North,Gynecology,56.0,0.820007118056848,0.5089073994812576,0.5894074683697006,0.3931539856836763,0,False,Tier 2,734313418.0,206.0,101.0,206.0,0,0,,0,0,0,0,45.92039861118349,918.4079722236697,0.10997291296966484,High Potential,High Uptake,High Performer,0,0,0
HCP01266,HCO0781,Hospital,P01,Hanoi,North,Infectious Disease,95.0,0.7714968543405407,0.4061667679666946,0.3359644598137304,0.3941638913769826,0,False,Tier 2,670240032.0,186.0,96.0,186.0,1,2,2026-08-01,1,0,0,0,73.29220116235136,1465.8440232470273,0.06549127907029838,High Potential,High Uptake,High Performer,0,0,0
HCP04189,HCO0742,Vax Center,P17,Da Nang,Central,General Practice,42.0,0.7808281381267507,0.8687163221765853,0.4587364670189701,0.4403991132807496,0,False,Tier 3,652296743.0,186.0,96.0,186.0,1,1,2025-02-01,0,0,0,0,32.79478180132353,655.8956360264706,0.14636474879080555,Low Potential,High Uptake,Emerging / Efficient,0,1,0
